name,count,max,min,plus_average,minus_average
1ch,1002,0.01922607,-0.06195068,0.00369492398172043,-0.0225388819069537
2ch,1002,0.003662109,-0.05004883,0.00160217283333333,-0.0217254330241414
3ch,1002,0.01953125,-0.05218506,0.00500327664473684,-0.0187945473668552
4ch,1002,0.03997803,-0.06072998,0.0140239074727876,-0.0242634273003656
